sample_group,industry,brand,product_or_campaign,copy_primary,shot_primary,carrier_primary,carrier_primary_label,carrier_hit_terms,shot_terms,vo_or_text_excerpt,pipeline_lesson,source_file
数字标准转功能显形,餐饮文旅,新西兰旅游局,现在出发作品征集,数字/标准证明,看不见功能显形,invisible_function_visualization,看不见功能显形承载,invisible_function_visualization:图标；透明,图标；透明,和我一起出发；寻找你的百分之百纯净新西兰；新西兰，现在出发,当数字证明的是技术或能力时，需要把不可见能力显形，而不是堆参数大字。,餐饮文旅__新西兰旅游局__现在出发作品征集.mp4
数字标准转功能显形,服饰鞋履,浪莎,限时满赠明星周边礼品销量第一,数字/标准证明,看不见功能显形,invisible_function_visualization,看不见功能显形承载,invisible_function_visualization:透明,透明,浪莎；高颜；高光；高质感；穿浪莎，轻装上阵,当数字证明的是技术或能力时，需要把不可见能力显形，而不是堆参数大字。,服饰鞋履__浪莎__限时满赠明星周边礼品销量第一.mp4
数字标准转功能显形,交通出行,宝马,全新BMWX5,数字/标准证明,看不见功能显形,invisible_function_visualization,看不见功能显形承载,invisible_function_visualization:光束；发光；数据；透明,光束；发光；数据；透明,全新BMW X5全面接受预定；全新BMW X5 华晨宝马 THE X5,当数字证明的是技术或能力时，需要把不可见能力显形，而不是堆参数大字。,交通出行__宝马__全新BMWX5.mp4
数字标准转功能显形,交通出行,奔驰,新一代GLESUV,数字/标准证明,看不见功能显形,invisible_function_visualization,看不见功能显形承载,invisible_function_visualization:动画,动画,广告；广告图示：所示车型为海外车型，非中规车型。配置存在差异，具体请以中国上市实车为准。；新一代GLE SUV 实力，方可从容演绎；新一代GLE SUV 全系标配驾驶辅助组件增强版；引擎盖屏幕示意 实时路径及地形；实力，方可从容演绎 新一代,当数字证明的是技术或能力时，需要把不可见能力显形，而不是堆参数大字。,交通出行__奔驰__新一代GLESUV.mp4
数字标准转功能显形,交通出行,奔驰,长轴距E级导航辅助驾驶,数字/标准证明,看不见功能显形,invisible_function_visualization,看不见功能显形承载,invisible_function_visualization:动画,动画,【台词】初次见面，我是你的智能领航辅助驾驶员。；【台词】前方车慢，我们变道行驶。；【台词】前车加塞，我们保持安全距离。；【台词】它是不是太近了？；【台词】别担心，我们离大车远一点。；【台词】出口快到了，让我们提前变道。；【台词】现在该你了。,当数字证明的是技术或能力时，需要把不可见能力显形，而不是堆参数大字。,交通出行__奔驰__长轴距E级导航辅助驾驶.mp4
感官词转产品动作,餐饮文旅,澳大利亚旅游局,来澳大利亚道一声Gday,感官材料隐喻,产品动作锤,product_action,产品/人物动作承载,product_action:拿；穿,拿；穿,【台词】到澳大利亚旅游，最精彩的是什么？；【台词】我呢，喜欢那里无比惬意的松弛感。；来澳大利亚，道一声 G'day,香、爽、脆、舒服等感官词很容易漂，真实成片常把它们压回拿、喝、打开、倒入等品类动作。,餐饮文旅__澳大利亚旅游局__来澳大利亚道一声Gday.mp4
感官词转产品动作,餐饮文旅,德克士,让味蕾酷起来加码狂欢,感官材料隐喻,产品动作锤,product_action,产品/人物动作承载,product_action:拿；穿；伸手,拿；穿；伸手,德克士美味不一样；超大超脆手枪腿；够懂中国味米汉堡；脆嫩多汁四方腿；现煎鸡腿火山菠萝堡；鸡腿排咖喱饭；30周年庆；王牌美味只要13.9元；让味蕾酷起来,香、爽、脆、舒服等感官词很容易漂，真实成片常把它们压回拿、喝、打开、倒入等品类动作。,餐饮文旅__德克士__让味蕾酷起来加码狂欢.mp4
感官词转产品动作,餐饮文旅,德克士,炸鸡拼盘狂欢一夏让味蕾酷起来,感官材料隐喻,产品动作锤,product_action,产品/人物动作承载,product_action:拿；递；伸手,拿；递；伸手,来德克士，做蛋仔好伙伴！；【台词】哇！；脆皮手枪腿，超大，超多汁！；手枪鸡块，好吃好玩！；德克士蛋仔分享餐等你来！；让味蕾酷起来,香、爽、脆、舒服等感官词很容易漂，真实成片常把它们压回拿、喝、打开、倒入等品类动作。,餐饮文旅__德克士__炸鸡拼盘狂欢一夏让味蕾酷起来.mp4
感官词转产品动作,家电家居,格力,鲜花冰箱,感官材料隐喻,产品动作锤,product_action,产品/人物动作承载,product_action:拿；穿；打开,拿；穿；打开,格力鲜花冰箱，无惧时间；鲜花持续美丽；创新保鲜科技；保鲜、保质、保味；格力鲜花冰箱；好电器，格力造,香、爽、脆、舒服等感官词很容易漂，真实成片常把它们压回拿、喝、打开、倒入等品类动作。,家电家居__格力__鲜花冰箱.mp4
感官词转产品动作,食品零食,佳沃,就喝佳沃椰青夏日清凉苑,感官材料隐喻,产品动作锤,product_action,产品/人物动作承载,product_action:喝；拿；穿；打开；落入；饮用,喝；拿；穿；打开；落入；饮用,佳沃好香椰；佳沃好嫩椰；佳沃好甜椰；【人群】好椰就喝佳沃椰青,香、爽、脆、舒服等感官词很容易漂，真实成片常把它们压回拿、喝、打开、倒入等品类动作。,食品零食__佳沃__就喝佳沃椰青夏日清凉苑.mp4
感官词保持材料路径,食品零食,德芙,纵享丝滑巧克力,感官材料隐喻,感官材料隐喻,sensory_material_path,感官/材料路径承载,sensory_material_path:丝绸；光泽；波浪；流动；花园；金色；飞溅,丝绸；光泽；波浪；流动；花园；金色；飞溅,【台词】最后一盆，我的花园，正式完工。；【台词】谁说，工位装不下我的愉悦。；随心而悦，德芙。,少数感官词可以直接变成材料路径，但必须仍然绑定产品和品类。,食品零食__德芙__纵享丝滑巧克力.mp4
感官词保持材料路径,食品零食,好欢螺,螺蛳粉累计8年全球领先,感官材料隐喻,感官材料隐喻,sensory_material_path,感官/材料路径承载,sensory_material_path:大口；满足；热气；金色；香气,大口；满足；热气；金色；香气,好欢螺螺蛳粉，好粉更有好标准。；好汤有标准，；非遗技艺，熬出地道好汤。；好粉有标准，；27道严苛工艺，成就爽滑劲道好粉。；好料有标准，；甄选丰富好料，一口鲜、酸、辣、爽。；真爱粉，我选好欢螺。；好欢螺。,少数感官词可以直接变成材料路径，但必须仍然绑定产品和品类。,食品零食__好欢螺__螺蛳粉累计8年全球领先.mp4
来源工艺转产品动作,服饰鞋履,娥姐家,香云纱源头工厂店,来源旅程/工艺仪式,产品动作锤,product_action,产品/人物动作承载,product_action:拿；穿,拿；穿,娥姐家 EJIA；香云纱源头工厂店,古法、源头、百年、非遗不能停在背景，必须接到产品动作或使用利益。,服饰鞋履__娥姐家__香云纱源头工厂店.mp4
来源工艺转产品动作,家电家居,王麻子,百年厨刀专家,来源旅程/工艺仪式,产品动作锤,product_action,产品/人物动作承载,product_action:拿；穿,拿；穿,王麻子，真麻利！；切！；斩！；削！；麻利！；【人群】王麻子，真麻利！；【人群】厨刀就选王麻子！；百年厨刀专家，王麻子！,古法、源头、百年、非遗不能停在背景，必须接到产品动作或使用利益。,家电家居__王麻子__百年厨刀专家.mp4
来源工艺转产品动作,家电家居,喜百年装饰,新春开门红,来源旅程/工艺仪式,产品动作锤,product_action,产品/人物动作承载,product_action:穿；递；举起,穿；递；举起,【台词】新年装修 怎么省；【人群】喜百年 发红包；【人群】发 发 发；【人群】预约领红包 装修才更省；线上预约装修 茅台红包送不停,古法、源头、百年、非遗不能停在背景，必须接到产品动作或使用利益。,家电家居__喜百年装饰__新春开门红.mp4
来源工艺转产品动作,交通出行,路虎卫士,始于1948车型篇,来源旅程/工艺仪式,产品动作锤,product_action,产品/人物动作承载,product_action:穿；打开,穿；打开,DEFENDER；路虎卫士 始于1948；DEFENDER；路虎卫士 始于1948,古法、源头、百年、非遗不能停在背景，必须接到产品动作或使用利益。,交通出行__路虎卫士__始于1948车型篇.mp4
来源工艺转产品动作,交通出行,路虎卫士,始于1948品牌片,来源旅程/工艺仪式,产品动作锤,product_action,产品/人物动作承载,product_action:穿,穿,牧野绿金属漆 灵感源自英国Woolstone瀑布；外挂式扩展行李箱 更大空间 装载向往；车顶行李架 负载全开 带齐野心；DEFENDER 路虎卫士 始于1948,古法、源头、百年、非遗不能停在背景，必须接到产品动作或使用利益。,交通出行__路虎卫士__始于1948品牌片.mp4
关系诉求转关系道具,服饰鞋履,泰兰尼斯,稳稳卡宝宝走路,关系场景证明,关系场景证明,relationship_scene_prop,关系/场景道具承载,product_action:快递 / relationship_scene_prop:妈妈；孩子；宝宝；快递；感动；礼盒,妈妈；孩子；宝宝；快递；感动；礼盒,【台词】宝宝都会走路啦；【台词】快发我个收货地址；【台词】您的快递；【台词】哇，稳稳鞋；【台词】带孩子很辛苦；【台词】希望能帮您分担；送泰兰尼斯；稳稳好礼，稳稳心意,关系不是泛温情，要落到礼盒、孩子、妈妈、餐桌、打开、换鞋等具体关系动作。,服饰鞋履__泰兰尼斯__稳稳卡宝宝走路.mp4
关系诉求转关系道具,服饰鞋履,泰兰尼斯,稳稳卡换季礼,关系场景证明,关系场景证明,relationship_scene_prop,关系/场景道具承载,relationship_scene_prop:孩子；宝宝；礼盒；送礼,孩子；宝宝；礼盒；送礼,【台词】王姐，换季啦；【台词】这双泰兰尼斯送给你家宝贝哦；【台词】换鞋啦，哇，稳稳鞋；【台词】工作上承蒙您照顾，宝宝小脚我来照顾；【台词】送泰兰尼斯，稳稳好礼，稳稳心意,关系不是泛温情，要落到礼盒、孩子、妈妈、餐桌、打开、换鞋等具体关系动作。,服饰鞋履__泰兰尼斯__稳稳卡换季礼.mp4
关系诉求转关系道具,服饰鞋履,泰兰尼斯,稳稳卡送礼,关系场景证明,关系场景证明,relationship_scene_prop,关系/场景道具承载,relationship_scene_prop:入学；妈妈；孩子；礼盒,入学；妈妈；孩子；礼盒,【台词】入学清单；【台词】让我这干妈也发挥一下；【人群】哇！稳跑鞋！干妈万岁！；【人群】干妈万岁；【台词】太帅了；送泰兰尼斯，稳稳好礼，稳稳心意,关系不是泛温情，要落到礼盒、孩子、妈妈、餐桌、打开、换鞋等具体关系动作。,服饰鞋履__泰兰尼斯__稳稳卡送礼.mp4
关系诉求转产品动作,服饰鞋履,波司登,穿波司登过中国年,关系场景证明,产品动作锤,product_action,产品/人物动作承载,product_action:拿；穿,拿；穿,新岁将至，万象更新。；无论你身在何方，；波司登愿温暖陪伴您和家人。；波司登，温暖中国家庭48年。；穿波司登，过中国年。,很多关系广告最终仍靠产品动作成立，温暖只是结果，不是主机制。,服饰鞋履__波司登__穿波司登过中国年.mp4
关系诉求转产品动作,服饰鞋履,波司登,新年送家人,关系场景证明,产品动作锤,product_action,产品/人物动作承载,product_action:拿；穿；打开,拿；穿；打开,看过世界，最爱是家；把这份温暖，回馈给我最爱的人；波司登，温暖中国家庭49年；新年送家人，就选波司登,很多关系广告最终仍靠产品动作成立，温暖只是结果，不是主机制。,服饰鞋履__波司登__新年送家人.mp4
关系诉求转产品动作,服饰鞋履,泰兰尼斯,稳稳鞋MAX走得稳,关系场景证明,产品动作锤,product_action,产品/人物动作承载,product_action:穿；打开,穿；打开,亲爱的；立春将至；希望送你家宝贝的这双；泰兰尼斯稳稳鞋MAX；能够给他稳稳的守护；少摔跤；走得稳；跑得稳；跳得稳；稳稳第一步；高光每一步；泰兰尼斯稳稳鞋,很多关系广告最终仍靠产品动作成立，温暖只是结果，不是主机制。,服饰鞋履__泰兰尼斯__稳稳鞋MAX走得稳.mp4
功能诉求转功能显形,家电家居,米家,智能净烟机P2,看不见功能显形,看不见功能显形,invisible_function_visualization,看不见功能显形承载,invisible_function_visualization:发光；粒子；透明,发光；粒子；透明,米家智能净烟机P2，创新三重净烟专利；新增离子抑菌功能；释放高浓度负氧离子，净除厨房空气；米家智能净烟机P2，烹饪净烟，厨房净味,净烟、益生菌、智能辅助等不可见功能需要问题-功能-结果的可视化路径。,家电家居__米家__智能净烟机P2.mp4
功能诉求转功能显形,交通出行,比亚迪,海豹06GT置换补贴,看不见功能显形,数字/标准证明,invisible_function_visualization,看不见功能显形承载,invisible_function_visualization:数字 / contrast_state:第一,数字；第一,BYD HEART海洋之心；水晶档把搭配海洋之心控制中枢 极具科技感与纯净美感；W-HUD智能抬头显示；重要行车信息投射于前风挡玻璃 科技与安全并存；DiPilot智能驾驶辅助系统-一键拨杆变道；行车途中拨动转向灯拨片 即可安全精准执行变道,净烟、益生菌、智能辅助等不可见功能需要问题-功能-结果的可视化路径。,交通出行__比亚迪__海豹06GT置换补贴.mp4
功能诉求转功能显形,饮料乳品,优益C,益生菌饮品,看不见功能显形,看不见功能显形,invisible_function_visualization,看不见功能显形承载,invisible_function_visualization:三维；动画；发光；微观,三维；动画；发光；微观；肠道,【台词】怎样才能动；【台词】动不动都轻松；你以为的身体轻盈；不过是菌群暗中助力；优益C，中国专利益生菌；99.9%强活性直达肠道；【台词】久坐不动；【台词】肠活动；优益C，适合中国人的益生菌,净烟、益生菌、智能辅助等不可见功能需要问题-功能-结果的可视化路径。,饮料乳品__优益C__益生菌饮品.mp4
